Creditability,Account_Balance,Duration_of_Credit,Previous_Credit,Purpose,Credit_Amount,Value_Savings_Stocks,employment,Instalment_percent,Sex_MaritalStatus,Guarantors,Duration_address,asset,Age,Concurrent_Credits,Type_apartment,No_of_Credits,Occupation,dependents,Telephone,Foreign_Worker
good,1,18,critical/other existing credit,used car,1049,1,2,4,male: single,none,4,2,21,3,free apartment,1,3,1,yes,yes
good,1,9,critical/other existing credit,other,2799,1,3,2,male: married / widowed,none,2,1,36,3,free apartment,2,3,2,yes,yes
good,2,12,existing paid,retraining,841,2,4,2,male: single,none,4,1,23,3,free apartment,1,2,1,yes,yes
good,1,12,critical/other existing credit,other,2122,1,3,3,male: married / widowed,none,2,1,39,3,free apartment,2,2,2,yes,no
good,1,12,critical/other existing credit,other,2171,1,3,4,male: married / widowed,none,4,2,38,1,rented flat,2,2,1,yes,no
good,1,10,critical/other existing credit,other,2241,1,2,1,male: married / widowed,none,3,1,48,3,free apartment,2,2,2,yes,no
good,1,8,critical/other existing credit,other,3398,1,4,1,male: married / widowed,none,4,1,39,3,rented flat,2,2,1,yes,no
good,1,6,critical/other existing credit,other,1361,1,2,2,male: married / widowed,none,4,1,40,3,rented flat,1,2,2,yes,no
good,4,18,critical/other existing credit,items of furniture,1098,1,1,4,male: single,none,4,3,65,3,rented flat,2,1,1,yes,yes
good,2,24,existing paid,items of furniture,3758,3,1,1,male: single,none,4,4,23,3,free apartment,1,1,1,yes,yes
good,1,11,critical/other existing credit,other,3905,1,3,2,male: married / widowed,none,2,1,36,3,free apartment,2,3,2,yes,yes
good,1,30,critical/other existing credit,new car,6187,2,4,1,female:,none,4,3,24,3,free apartment,2,3,1,yes,yes
good,1,6,critical/other existing credit,items of furniture,1957,1,4,1,male: single,none,4,3,31,3,rented flat,1,3,1,yes,yes
good,2,48,delayed previously,business,7582,2,1,2,male: married / widowed,none,4,4,31,3,rented flat,1,4,1,no,yes
good,1,18,existing paid,items of furniture,1936,5,4,2,female:,none,4,3,23,3,free apartment,2,2,1,yes,yes
good,1,6,existing paid,items of furniture,2647,3,3,2,male: married / widowed,none,3,1,44,3,free apartment,1,3,2,yes,yes
good,1,11,critical/other existing credit,other,3939,1,3,1,male: married / widowed,none,2,1,40,3,rented flat,2,2,2,yes,yes
good,2,18,existing paid,items of furniture,3213,3,2,1,female:,none,3,1,25,3,free apartment,1,3,1,yes,yes
good,2,36,critical/other existing credit,items of furniture,2337,1,5,4,male: married / widowed,none,4,1,36,3,rented flat,1,3,1,yes,yes
good,4,11,critical/other existing credit,other,7228,1,3,1,male: married / widowed,none,4,2,39,3,rented flat,2,2,1,yes,yes
good,1,6,critical/other existing credit,other,3676,1,3,1,male: married / widowed,none,3,1,37,3,free apartment,3,3,2,yes,yes
good,2,12,critical/other existing credit,other,3124,1,2,1,male: married / widowed,none,3,1,49,1,rented flat,2,2,2,yes,yes
bad,2,36,existing paid,household appliances,2384,1,2,4,male: married / widowed,none,1,4,33,3,free apartment,1,2,1,yes,yes
good,2,12,critical/other existing credit,radio / television,1424,1,4,4,male: married / widowed,none,3,2,26,3,rented flat,1,3,1,yes,yes
good,1,6,critical/other existing credit,other,4716,5,2,1,male: married / widowed,none,3,1,44,3,rented flat,2,2,2,yes,yes
