Creditability,Account_Balance,Duration_of_Credit,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,Guarantors,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker
good,-1,6,critical/other existing credit,radio/tv,1169,no known savings,15,47,male single,none,4,real estate,67,none,own,2,skilled,1,yes,yes
bad,13,48,existing paid,radio/tv,5951,10,3,25,female div/dep/mar,none,2,real estate,22,none,own,1,skilled,1,none,yes
good,no checking,12,critical/other existing credit,education,2096,75,4,29,male single,none,3,real estate,49,none,own,1,unskilled resident,2,none,yes
good,-1,42,existing paid,furniture/equipment,7882,1,4,34,male single,guarantor,4,life insurance,45,none,for free,1,skilled,2,none,yes
bad,-1,24,delayed previously,new car,4870,60,2,21,male single,none,4,no known property,53,none,for free,2,skilled,2,none,yes
good,no checking,36,existing paid,education,9055,no known savings,1,34,male single,none,4,no known property,35,none,for free,1,unskilled resident,2,yes,yes
good,no checking,24,existing paid,furniture/equipment,2835,693,17,20,male single,none,4,life insurance,53,none,own,1,skilled,1,none,yes
good,65,36,existing paid,used car,6948,83,2,29,male single,none,2,car,35,none,rent,1,high qualif/self emp/mgmt,1,yes,yes
good,no checking,12,existing paid,radio/tv,3059,2447,6,30,male div/sep,none,4,real estate,61,none,own,1,unskilled resident,1,none,yes
bad,41,30,critical/other existing credit,new car,5234,67,unemployed,6,male mar/wid,none,2,car,28,none,own,2,high qualif/self emp/mgmt,1,none,yes
bad,145,12,existing paid,new car,1295,62,0,20,female div/dep/mar,none,1,car,25,none,rent,1,skilled,1,none,yes
bad,-1,48,existing paid,business,4308,61,0,24,female div/dep/mar,none,4,life insurance,24,none,rent,1,skilled,1,none,yes
good,40,12,existing paid,radio/tv,1567,85,2,48,female div/dep/mar,none,1,car,22,none,own,1,skilled,1,yes,yes
bad,-1,24,critical/other existing credit,new car,1199,56,9,4,male single,none,4,car,60,none,own,2,unskilled resident,1,none,yes
good,-1,15,existing paid,new car,1403,62,2,34,female div/dep/mar,none,4,car,28,none,rent,1,skilled,1,none,yes
bad,-1,24,existing paid,radio/tv,1282,194,3,10,female div/dep/mar,none,2,car,32,none,own,1,unskilled resident,1,none,yes
good,no checking,24,critical/other existing credit,radio/tv,2424,no known savings,8,18,male single,none,4,life insurance,53,none,own,2,skilled,1,none,yes
good,-1,30,no credits/all paid,business,8072,no known savings,0,28,male single,none,3,car,25,bank,own,3,skilled,1,none,yes
bad,125,24,existing paid,used car,12579,22,19,4,female div/dep/mar,none,2,no known property,44,none,for free,1,high qualif/self emp/mgmt,1,yes,yes
good,no checking,24,existing paid,radio/tv,3430,745,20,21,male single,none,2,car,31,none,own,1,skilled,2,yes,yes
good,no checking,9,critical/other existing credit,new car,2134,89,2,16,male single,none,4,car,48,none,own,3,skilled,1,yes,yes
good,-1,6,existing paid,radio/tv,2647,786,2,25,male single,none,3,real estate,44,none,rent,1,skilled,2,none,yes
good,-1,10,critical/other existing credit,new car,2241,15,0,51,male single,none,3,real estate,48,none,rent,2,unskilled resident,2,none,no
good,176,12,critical/other existing credit,used car,1804,413,0,22,male single,none,4,life insurance,44,none,own,1,skilled,1,none,yes
good,no checking,10,critical/other existing credit,furniture/equipment,2069,no known savings,1,33,male mar/wid,none,1,car,26,none,own,2,skilled,1,none,no
good,-1,6,existing paid,furniture/equipment,1374,25,1,55,male single,none,2,real estate,36,bank,own,1,unskilled resident,1,yes,yes
good,no checking,6,no credits/all paid,radio/tv,426,3,8,8,male mar/wid,none,4,car,39,none,own,1,unskilled resident,1,none,yes
good,1215,12,all paid,radio/tv,409,5503,1,21,female div/dep/mar,none,3,real estate,42,none,rent,2,skilled,1,none,yes
good,165,7,existing paid,radio/tv,2415,25,3,24,male single,guarantor,2,real estate,34,none,own,1,skilled,1,none,yes
bad,-1,60,delayed previously,business,6836,30,13,22,male single,none,4,no known property,63,none,own,2,skilled,1,yes,yes
good,81,18,existing paid,business,1913,3255,0,23,male mar/wid,none,3,real estate,36,bank,own,1,skilled,1,yes,yes
good,-1,24,existing paid,furniture/equipment,4020,32,1,26,male single,none,2,car,27,stores,own,1,skilled,1,none,yes
good,17,18,existing paid,new car,5866,295,1,26,male single,none,2,car,30,none,own,2,skilled,1,yes,yes
good,no checking,12,critical/other existing credit,business,1264,no known savings,20,19,male single,none,4,no known property,57,none,rent,1,unskilled resident,1,none,yes
good,3521,12,existing paid,furniture/equipment,1474,36,0,13,female div/dep/mar,none,1,life insurance,33,bank,own,1,high qualif/self emp/mgmt,1,yes,yes
bad,89,45,critical/other existing credit,radio/tv,4746,0,0,4,male single,none,2,life insurance,25,none,own,2,unskilled resident,1,none,yes
good,no checking,48,critical/other existing credit,education,6110,45,2,66,male single,none,3,no known property,31,bank,for free,1,skilled,1,yes,yes
